"Date","Day_Wk","nb_crimes","nb_aggravated","nb_simple","nb_vandalism","nb_robbery","nb_larceny","nb_fraud","nb_selected","TEMP","TMAX_C","TMIN_C","DEWP","VISIB","Wind","PRCP","y2012","y2013","y2014","y2015","y2016","y2017","year","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","Weekend","DEWP_lag","WDSP_lag","PRCP_lag","TEMP_lag","Season","Summer","Fall","Winter","Spring","heat.index","DayMonth","DayMonth_3","DayMonth1","DayMonth2","DayMonth3","DayMonth1_15_30","LastDayMonth","FirstDayMonth","MidDayMonth","SNOW","Events","Holidays","Snow","Rain","WindxRain","WindxHeatIndex"
2012-07-08,"Sunday",177,8,19,13,7,31,3,42,26.444444444,31.722222222,21.722222222,15.944444444,10,8.5,0,1,0,0,0,0,0,"2012",0,0,0,1,0,0,0,1,NA,NA,NA,NA,"Summer",1,0,0,0,27,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229.5
2012-07-09,"Monday",285,6,17,14,7,48,11,37,24.333333333,31.722222222,20,9.6666666667,10,7.9,0,1,0,0,0,0,0,"2012",0,1,0,0,0,0,0,0,15.944444444,8.5,0,26.444444444,"Summer",1,0,0,0,24,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,189.6
2012-07-10,"Tuesday",263,11,20,15,3,43,10,49,22.722222222,28.888888889,18.277777778,9.6666666667,10,5.5,0,1,0,0,0,0,0,"2012",0,0,0,0,0,1,0,0,9.6666666667,7.9,0,24.333333333,"Summer",1,0,0,0,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121
2012-07-11,"Wednesday",246,8,15,17,2,35,4,43,23.166666667,28.277777778,18.277777778,14.5,10,6.7,0,1,0,0,0,0,0,"2012",0,0,0,0,0,0,1,0,9.6666666667,5.5,0,22.722222222,"Summer",1,0,0,0,23,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,154.1
2012-07-12,"Thursday",251,7,12,22,3,49,9,43,24.5,30,18.888888889,15.611111111,10,8.6,0,1,0,0,0,0,0,"2012",0,0,0,0,1,0,0,0,14.5,6.7,0,23.166666667,"Summer",1,0,0,0,25,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,215
2012-07-13,"Friday",264,11,19,13,8,35,10,43,25.722222222,32.222222222,18.888888889,15.277777778,10,10.6,0,1,0,0,0,0,0,"2012",1,0,0,0,0,0,0,0,15.611111111,8.6,0,24.5,"Summer",1,0,0,0,26,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,275.6
2012-07-14,"Saturday",213,10,20,13,6,29,3,46,26.666666667,32.777777778,20.611111111,15.888888889,10,8.3,0,1,0,0,0,0,0,"2012",0,0,1,0,0,0,0,1,15.277777778,10.6,0,25.722222222,"Summer",1,0,0,0,27,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,224.1
2012-07-15,"Sunday",235,3,20,16,7,50,2,39,27.833333333,32.777777778,22.222222222,17.666666667,10,7.9,0,1,0,0,0,0,0,"2012",0,0,0,1,0,0,0,1,15.888888889,8.3,0,26.666666667,"Summer",1,0,0,0,29,15,2,0,1,0,2,0,0,1,0,0,0,0,0,0,229.1
2012-07-16,"Monday",248,8,20,11,8,46,9,41,26.166666667,32.777777778,22.222222222,20.055555556,10,9.6,0,1,0,0,0,0,0,"2012",0,1,0,0,0,0,0,0,17.666666667,7.9,0,27.833333333,"Summer",1,0,0,0,28,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,268.8
2012-07-17,"Tuesday",279,9,22,13,1,35,8,48,28.611111111,35.611111111,22.222222222,19.055555556,10,7.8,0,1,0,0,0,0,0,"2012",0,0,0,0,0,1,0,0,20.055555556,9.6,0,26.166666667,"Summer",1,0,0,0,30,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,234
2012-07-18,"Wednesday",227,4,12,9,5,32,5,27,27.722222222,31.722222222,21,19.555555556,8.7,9.5,0,1,0,0,0,0,0,"2012",0,0,0,0,0,0,1,0,19.055555556,7.8,0,28.611111111,"Summer",1,0,0,0,29,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,275.5
2012-07-19,"Thursday",263,3,7,14,2,49,6,27,22.222222222,31.722222222,18.888888889,16.277777778,9.9,6.9,1.8,1,0,0,0,0,0,"2012",0,0,0,0,1,0,0,0,19.555555556,9.5,0,27.722222222,"Summer",1,0,0,0,22,19,2,0,1,0,0,0,0,0,0,0,0,0,1,6.9,151.8
2012-07-20,"Friday",306,9,19,20,9,48,7,49,20.166666667,23.277777778,18.888888889,15,10,6.5,0.06,1,0,0,0,0,0,"2012",1,0,0,0,0,0,0,0,16.277777778,6.9,1.8,22.222222222,"Summer",1,0,0,0,20,20,2,0,1,0,0,0,0,0,0,0,0,0,1,6.5,130
2012-07-21,"Saturday",267,4,23,20,3,42,5,48,19.777777778,23.277777778,16.111111111,14.111111111,10,5.1,0,1,0,0,0,0,0,"2012",0,0,1,0,0,0,0,1,15,6.5,0.06,20.166666667,"Summer",1,0,0,0,20,21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,102
2012-07-22,"Sunday",222,6,10,19,6,42,4,35,22.388888889,28.888888889,16.111111111,13.611111111,10,8.5,0,1,0,0,0,0,0,"2012",0,0,0,1,0,0,0,1,14.111111111,5.1,0,19.777777778,"Summer",1,0,0,0,22,22,3,0,0,1,0,0,0,0,0,0,0,0,0,0,187
2012-07-23,"Monday",256,4,12,12,10,31,11,29,23.055555556,30,16.111111111,17.166666667,9.9,9.6,0.02,1,0,0,0,0,0,"2012",0,1,0,0,0,0,0,0,13.611111111,8.5,0,22.388888889,"Summer",1,0,0,0,23,23,3,0,0,1,0,0,0,0,0,0,0,0,1,9.6,220.8
2012-07-24,"Tuesday",233,0,24,13,3,24,13,37,24.666666667,32.777777778,18.888888889,20.333333333,9.3,9.2,0.05,1,0,0,0,0,0,"2012",0,0,0,0,0,1,0,0,17.166666667,9.6,0.02,23.055555556,"Summer",1,0,0,0,25,24,3,0,0,1,0,0,0,0,0,0,0,0,1,9.2,230
2012-07-25,"Wednesday",251,6,17,14,6,45,5,40,22.722222222,32.777777778,18.277777778,11.777777778,9.7,11.1,0.5,1,0,0,0,0,0,"2012",0,0,0,0,0,0,1,0,20.333333333,9.2,0.05,24.666666667,"Summer",1,0,0,0,22,25,3,0,0,1,0,0,0,0,0,0,0,0,1,11.1,244.2
2012-07-26,"Thursday",271,3,14,13,8,47,5,33,23,28.888888889,18.277777778,16.333333333,10,5.9,0,1,0,0,0,0,0,"2012",0,0,0,0,1,0,0,0,11.777777778,11.1,0.5,22.722222222,"Summer",1,0,0,0,23,26,3,0,0,1,0,0,0,0,0,0,0,0,0,0,135.7
2012-07-27,"Friday",259,5,9,15,7,39,7,32,21.777777778,28.888888889,17.777777778,19.111111111,8.2,5.9,0.02,1,0,0,0,0,0,"2012",1,0,0,0,0,0,0,0,16.333333333,5.9,0,23,"Summer",1,0,0,0,22,27,3,0,0,1,0,0,0,0,0,0,0,0,1,5.9,129.8
2012-07-28,"Saturday",261,7,15,15,11,36,6,38,19.666666667,26.111111111,17.222222222,17.388888889,8.1,4.4,0.57,1,0,0,0,0,0,"2012",0,0,1,0,0,0,0,1,19.111111111,5.9,0.02,21.777777778,"Summer",1,0,0,0,20,28,3,0,0,1,0,0,0,0,0,0,0,0,1,4.4,88
2012-07-29,"Sunday",207,11,9,17,4,41,5,39,19.777777778,22.777777778,17.222222222,17.611111111,8.1,8.2,0.3,1,0,0,0,0,0,"2012",0,0,0,1,0,0,0,1,17.388888889,4.4,0.57,19.666666667,"Summer",1,0,0,0,20,29,3,0,0,1,0,0,0,0,0,0,0,0,1,8.2,164
2012-07-30,"Monday",256,9,20,14,4,44,9,43,20.888888889,27.222222222,17.222222222,16.277777778,9.9,6.2,0,1,0,0,0,0,0,"2012",0,1,0,0,0,0,0,0,17.611111111,8.2,0.3,19.777777778,"Summer",1,0,0,0,21,30,3,0,0,1,0,0,0,0,0,0,0,0,0,0,130.2
2012-07-31,"Tuesday",221,10,14,12,8,35,4,39,19.944444444,27.222222222,17.222222222,16.611111111,9.3,7.8,0,1,0,0,0,0,0,"2012",0,0,0,0,0,1,0,0,16.277777778,6.2,0,20.888888889,"Summer",1,0,0,0,20,31,3,0,0,1,3,1,0,0,0,0,0,0,0,0,156
2012-08-01,"Wednesday",263,4,12,7,4,35,17,23,21.777777778,25,19,19.111111111,7.5,7.2,0.49,1,0,0,0,0,0,"2012",0,0,0,0,0,0,1,0,16.611111111,7.8,0,19.944444444,"Summer",1,0,0,0,22,1,1,1,0,0,1,0,1,0,0,0,0,0,1,7.2,158.4
